date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:22	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:21%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/jquery.inview.min.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/jquery.inview.min.js	(from https://ukieweb.com/envato/ukiecard/style3/)
13:45:22	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-51b8fb8304e00%22	https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.eot?	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regulard41d.eot	(from https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/css/bootstrap.min.css)
13:45:22	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:22%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/jquery.knob.min.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/jquery.knob.min.js	(from https://ukieweb.com/envato/ukiecard/style3/)
13:45:22	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:22%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/jquery.cookie.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/jquery.cookie.js	(from https://ukieweb.com/envato/ukiecard/style3/)
13:45:23	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:22%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/TweenMax.min.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/TweenMax.min.js	(from https://ukieweb.com/envato/ukiecard/style3/)
13:45:23	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:22%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/menu.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/menu.js	(from https://ukieweb.com/envato/ukiecard/style3/)
13:45:23	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-51b8fb85e14c0%22	https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.woff2	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.html	(from https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/css/bootstrap.min.css)
13:45:23	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:23%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/js/scripts.js	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/js/scripts.js	(from https://ukieweb.com/envato/ukiecard/style3/)
13:45:23	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Apr%202016%2010:45:23%20GMT	https://ukieweb.com/envato/ukiecard/style3/assets/img/profile_l.png	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/img/profile_l.png	(from https://ukieweb.com/envato/ukiecard/style3/profile.html)
13:45:24	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-51b8fb84ed280%22	https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.woff	/home/bonifacechacha/websites/personal%20web/ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/fonts/glyphicons-halflings-regular.woff	(from https://ukieweb.com/envato/ukiecard/style3/assets/boostrap-files/css/bootstrap.min.css)
